"treatment"	"h"	"p"	"repl"	"complianceRate"	"observedCompliance"
"244"	0	0	0.1	44	0.608	0.546240851630073
"245"	0	0	0.1	45	0.598	0.546240851630073
"246"	0	0	0.1	46	0.628	0.546240851630073
"247"	0	0	0.1	47	0.608	0.546240851630073
"248"	0	0	0.1	48	0.588	0.546240851630073
"249"	0	0	0.1	49	0.624	0.546240851630073
"250"	0	0	0.1	50	0.634	0.546240851630073
"251"	0	0	0.1	51	0.608	0.546240851630073
"252"	0	0	0.1	52	0.604	0.546240851630073
"253"	0	0	0.1	53	0.632	0.546240851630073
"254"	0	0	0.1	54	0.636	0.546240851630073
"255"	0	0	0.1	55	0.62	0.546240851630073
"256"	0	0	0.1	56	0.646	0.546240851630073
"257"	0	0	0.1	57	0.646	0.546240851630073
"258"	0	0	0.1	58	0.666	0.546240851630073
"259"	0	0	0.1	59	0.61	0.546240851630073
"260"	0	0	0.1	60	0.598	0.546240851630073
"261"	0	0	0.1	61	0.624	0.546240851630073
"262"	0	0	0.1	62	0.658	0.546240851630073
"263"	0	0	0.1	63	0.64	0.546240851630073
"264"	0	0	0.1	64	0.588	0.546240851630073
"265"	0	0	0.1	65	0.632	0.546240851630073
"266"	0	0	0.1	66	0.618	0.546240851630073
"267"	0	0	0.1	67	0.618	0.546240851630073
"268"	0	0	0.1	68	0.624	0.546240851630073
"269"	0	0	0.1	69	0.642	0.546240851630073
"270"	0	0	0.1	70	0.626	0.546240851630073
"271"	0	0	0.1	71	0.658	0.546240851630073
"272"	0	0	0.1	72	0.642	0.546240851630073
"273"	0	0	0.1	73	0.626	0.546240851630073
"274"	0	0	0.1	74	0.6	0.546240851630073
"275"	0	0	0.1	75	0.628	0.546240851630073
"276"	0	0	0.1	76	0.636	0.546240851630073
"277"	0	0	0.1	77	0.618	0.546240851630073
"278"	0	0	0.1	78	0.634	0.546240851630073
"279"	0	0	0.1	79	0.642	0.546240851630073
"280"	0	0	0.1	80	0.634	0.546240851630073
"281"	0	0	0.1	81	0.624	0.546240851630073
"282"	0	0	0.1	82	0.64	0.546240851630073
"283"	0	0	0.1	83	0.608	0.546240851630073
"284"	0	0	0.1	84	0.544	0.546240851630073
"285"	0	0	0.1	85	0.576	0.546240851630073
"286"	0	0	0.1	86	0.646	0.546240851630073
"287"	0	0	0.1	87	0.588	0.546240851630073
"288"	0	0	0.1	88	0.6	0.546240851630073
"289"	0	0	0.1	89	0.632	0.546240851630073
"290"	0	0	0.1	90	0.618	0.546240851630073
"291"	0	0	0.1	91	0.624	0.546240851630073
"292"	0	0	0.1	92	0.616	0.546240851630073
"293"	0	0	0.1	93	0.618	0.546240851630073
"294"	0	0	0.1	94	0.618	0.546240851630073
"295"	0	0	0.1	95	0.634	0.546240851630073
"296"	0	0	0.1	96	0.644	0.546240851630073
"297"	0	0	0.1	97	0.64	0.546240851630073
"298"	0	0	0.1	98	0.588	0.546240851630073
"299"	0	0	0.1	99	0.634	0.546240851630073
"300"	0	0	0.1	100	0.646	0.546240851630073
"301"	0	0	0.15	1	0.618	0.546240851630073
"302"	0	0	0.15	2	0.58	0.546240851630073
"303"	0	0	0.15	3	0.622	0.546240851630073
"304"	0	0	0.15	4	0.594	0.546240851630073
"305"	0	0	0.15	5	0.63	0.546240851630073
"306"	0	0	0.15	6	0.594	0.546240851630073
"307"	0	0	0.15	7	0.586	0.546240851630073
"308"	0	0	0.15	8	0.614	0.546240851630073
"309"	0	0	0.15	9	0.624	0.546240851630073
"310"	0	0	0.15	10	0.594	0.546240851630073
"311"	0	0	0.15	11	0.58	0.546240851630073
"312"	0	0	0.15	12	0.582	0.546240851630073
"313"	0	0	0.15	13	0.602	0.546240851630073
"314"	0	0	0.15	14	0.62	0.546240851630073
"315"	0	0	0.15	15	0.624	0.546240851630073
"316"	0	0	0.15	16	0.616	0.546240851630073
"317"	0	0	0.15	17	0.606	0.546240851630073
"318"	0	0	0.15	18	0.604	0.546240851630073
"319"	0	0	0.15	19	0.632	0.546240851630073
"320"	0	0	0.15	20	0.59	0.546240851630073
"321"	0	0	0.15	21	0.632	0.546240851630073
"322"	0	0	0.15	22	0.61	0.546240851630073
"323"	0	0	0.15	23	0.584	0.546240851630073
"324"	0	0	0.15	24	0.626	0.546240851630073
"325"	0	0	0.15	25	0.638	0.546240851630073
"326"	0	0	0.15	26	0.618	0.546240851630073
"327"	0	0	0.15	27	0.622	0.546240851630073
"328"	0	0	0.15	28	0.604	0.546240851630073
"329"	0	0	0.15	29	0.648	0.546240851630073
"330"	0	0	0.15	30	0.61	0.546240851630073
"331"	0	0	0.15	31	0.58	0.546240851630073
"332"	0	0	0.15	32	0.632	0.546240851630073
"333"	0	0	0.15	33	0.634	0.546240851630073
"334"	0	0	0.15	34	0.578	0.546240851630073
"335"	0	0	0.15	35	0.604	0.546240851630073
"336"	0	0	0.15	36	0.636	0.546240851630073
"337"	0	0	0.15	37	0.624	0.546240851630073
"338"	0	0	0.15	38	0.626	0.546240851630073
"339"	0	0	0.15	39	0.614	0.546240851630073
"340"	0	0	0.15	40	0.624	0.546240851630073
"341"	0	0	0.15	41	0.62	0.546240851630073
"342"	0	0	0.15	42	0.63	0.546240851630073
"343"	0	0	0.15	43	0.614	0.546240851630073
